Case_Reference,Workstream,Caseworker,Processing_Days,Target_Days,Final_Determination
CAS-2024-0001,Complex Audit,Officer_E,47,30,Remediated
CAS-2024-0002,Urgent Investigation,Officer_F,6,10,Approved
CAS-2024-0003,Standard Review,Officer_C,9,20,Approved
CAS-2024-0004,Standard Review,Officer_F,7,20,Approved
CAS-2024-0005,Standard Review,Officer_A,26,20,Approved
CAS-2024-0006,Standard Review,Officer_A,31,20,Approved
CAS-2024-0007,Appeals,Officer_D,17,20,Approved
CAS-2024-0008,Appeals,Officer_D,20,20,Approved
CAS-2024-0009,Appeals,Officer_B,12,20,Remediated
CAS-2024-0010,Complex Audit,Officer_C,17,30,Approved
CAS-2024-0011,Standard Review,Officer_F,50,20,Approved
CAS-2024-0012,Standard Review,Officer_B,9,20,Approved
CAS-2024-0013,Standard Review,Officer_D,3,20,Approved
CAS-2024-0014,Standard Review,Officer_F,20,20,Remediated
CAS-2024-0015,Standard Review,Officer_E,6,20,Rejected
CAS-2024-0016,Standard Review,Officer_A,43,20,Approved
CAS-2024-0017,Appeals,Officer_C,34,20,Rejected
CAS-2024-0018,Standard Review,Officer_C,18,20,Rejected
CAS-2024-0019,Appeals,Officer_E,12,20,Rejected
CAS-2024-0020,Standard Review,Officer_E,7,20,Approved
CAS-2024-0021,Standard Review,Officer_A,15,20,Approved
CAS-2024-0022,Standard Review,Officer_B,14,20,Rejected
CAS-2024-0023,Appeals,Officer_F,14,20,Approved
CAS-2024-0024,Urgent Investigation,Officer_E,14,10,Rejected
CAS-2024-0025,Appeals,Officer_D,17,20,Approved
CAS-2024-0026,Standard Review,Officer_B,19,20,Approved
CAS-2024-0027,Urgent Investigation,Officer_D,9,10,Rejected
CAS-2024-0028,Standard Review,Officer_A,3,20,Approved
CAS-2024-0029,Standard Review,Officer_B,5,20,Approved
CAS-2024-0030,Standard Review,Officer_A,32,20,Approved
CAS-2024-0031,Standard Review,Officer_D,11,20,Approved
CAS-2024-0032,Complex Audit,Officer_B,12,30,Approved
CAS-2024-0033,Urgent Investigation,Officer_B,4,10,Approved
CAS-2024-0034,Standard Review,Officer_B,11,20,Approved
CAS-2024-0035,Standard Review,Officer_C,10,20,Remediated
CAS-2024-0036,Standard Review,Officer_B,18,20,Approved
