Report_Period,Channel_Name,Contacts_Received,Contacts_Handled,Average_Wait_Time_Sec,Target_Wait_Time_Sec,Avg_Handling_Time_Sec,Productive_FTE
2024-01-01,Telephony,1660,1450,145.9,60.0,349.2,10.2
2024-01-01,Web Chat,2038,1747,159.3,60.0,350.3,13.9
2024-01-01,Email Support,2485,2130,136.9,60.0,434.6,4.0
2024-01-01,Escalations,1755,1533,72.2,60.0,331.2,10.0
2024-02-01,Telephony,1274,1184,46.6,60.0,273.0,9.1
2024-02-01,Web Chat,989,852,120.8,60.0,295.6,17.8
2024-02-01,Email Support,2328,1992,119.2,60.0,242.6,4.9
2024-02-01,Escalations,3235,3145,112.3,60.0,296.4,4.2
2024-03-01,Telephony,2163,1906,130.9,60.0,352.5,15.7
2024-03-01,Web Chat,834,807,65.1,60.0,365.6,8.4
2024-03-01,Email Support,3413,3143,53.7,60.0,442.4,14.9
2024-03-01,Escalations,961,866,168.6,60.0,381.8,8.6
2024-04-01,Telephony,2075,1775,75.4,60.0,297.2,7.8
2024-04-01,Web Chat,1876,1737,174.6,60.0,351.8,7.9
2024-04-01,Email Support,1980,1889,36.6,60.0,446.7,14.8
2024-04-01,Escalations,2827,2510,27.2,60.0,249.7,14.0
2024-05-01,Telephony,1218,1157,36.5,60.0,289.6,5.6
2024-05-01,Web Chat,2982,2864,94.7,60.0,223.9,9.2
2024-05-01,Email Support,2551,2389,116.7,60.0,268.7,11.9
2024-05-01,Escalations,3460,3378,156.6,60.0,380.4,7.3
2024-06-01,Telephony,1197,1094,106.0,60.0,306.9,4.4
2024-06-01,Web Chat,2284,2001,163.8,60.0,318.8,11.9
2024-06-01,Email Support,2723,2635,63.6,60.0,302.6,14.6
2024-06-01,Escalations,1859,1808,117.8,60.0,373.7,16.3
2024-07-01,Telephony,3404,3024,41.4,60.0,314.1,7.1
2024-07-01,Web Chat,2163,2089,108.6,60.0,401.9,16.5
2024-07-01,Email Support,3037,2624,60.3,60.0,306.8,15.5
2024-07-01,Escalations,2568,2284,50.5,60.0,333.5,10.8
2024-08-01,Telephony,2057,1838,171.2,60.0,280.8,11.3
2024-08-01,Web Chat,1936,1661,64.4,60.0,261.7,13.7
2024-08-01,Email Support,2436,2160,30.7,60.0,352.4,11.0
2024-08-01,Escalations,2389,2040,78.5,60.0,358.6,13.5
2024-09-01,Telephony,1876,1713,177.8,60.0,260.5,13.4
2024-09-01,Web Chat,1002,899,62.5,60.0,400.8,10.6
2024-09-01,Email Support,997,899,151.5,60.0,399.6,6.1
2024-09-01,Escalations,986,862,31.3,60.0,347.7,13.5
2024-10-01,Telephony,3250,3062,150.5,60.0,287.2,5.3
2024-10-01,Web Chat,1288,1210,84.9,60.0,434.2,5.9
2024-10-01,Email Support,3320,2912,108.9,60.0,373.9,7.2
2024-10-01,Escalations,2991,2860,111.1,60.0,332.4,7.4
2024-11-01,Telephony,2127,2074,111.5,60.0,420.7,6.6
2024-11-01,Web Chat,2482,2343,164.1,60.0,421.8,14.9
2024-11-01,Email Support,1427,1228,50.1,60.0,424.6,12.5
2024-11-01,Escalations,3357,3263,175.9,60.0,271.0,8.3
2024-12-01,Telephony,1756,1543,135.4,60.0,259.3,8.6
2024-12-01,Web Chat,2327,2174,156.6,60.0,364.4,12.0
2024-12-01,Email Support,1259,1153,123.6,60.0,262.6,12.3
2024-12-01,Escalations,3077,2772,163.3,60.0,357.8,15.1
