reporting_month,support_team,channel,tickets_received,tickets_completed,first_contact_resolution_pct,target_fcr_pct,csat_score_out_of_5,avg_handle_time_mins,support_fte,closing_backlog
2025-01,Tier 1 Digital Support,Omnichannel,2538,2413,87.8,80.0,4.41,7.3,16.1,167
2025-02,Tier 1 Digital Support,Omnichannel,2331,2197,73.4,80.0,4.09,13.2,15.0,104
2025-03,Tier 1 Digital Support,Omnichannel,2407,2338,87.7,80.0,3.91,13.8,16.5,99
2025-04,Tier 1 Digital Support,Omnichannel,2435,2534,73.1,80.0,4.47,10.7,15.5,126
2025-05,Tier 1 Digital Support,Omnichannel,2149,2095,73.4,80.0,4.12,10.3,18.6,133
2025-06,Tier 1 Digital Support,Omnichannel,2331,2191,75.2,80.0,4.38,10.1,17.7,112
2025-07,Tier 1 Digital Support,Omnichannel,2302,2414,72.4,80.0,3.86,8.9,16.0,121
2025-08,Tier 1 Digital Support,Omnichannel,2309,2265,83.7,80.0,4.4,9.6,18.1,139
2025-09,Tier 1 Digital Support,Omnichannel,2486,2523,87.4,80.0,3.92,13.5,19.0,114
2025-10,Tier 1 Digital Support,Omnichannel,2473,2339,72.5,80.0,4.6,7.7,19.1,159
2025-11,Tier 1 Digital Support,Omnichannel,2459,2542,79.4,80.0,4.16,9.4,18.0,109
2025-12,Tier 1 Digital Support,Omnichannel,2362,2402,78.3,80.0,4.1,10.3,16.3,152
2025-01,Tier 2 Technical Desk,Omnichannel,849,849,79.8,80.0,4.71,7.4,6.2,114
2025-02,Tier 2 Technical Desk,Omnichannel,824,824,72.5,80.0,4.59,10.5,6.0,134
2025-03,Tier 2 Technical Desk,Omnichannel,827,840,75.6,80.0,4.05,6.8,5.5,126
2025-04,Tier 2 Technical Desk,Omnichannel,1026,958,76.2,80.0,4.62,12.8,7.6,130
2025-05,Tier 2 Technical Desk,Omnichannel,759,769,72.7,80.0,4.03,11.9,7.4,95
2025-06,Tier 2 Technical Desk,Omnichannel,1007,950,74.5,80.0,4.15,13.3,6.6,145
2025-07,Tier 2 Technical Desk,Omnichannel,533,530,87.1,80.0,3.95,10.3,6.4,157
2025-08,Tier 2 Technical Desk,Omnichannel,769,777,86.8,80.0,4.37,13.4,7.6,121
2025-09,Tier 2 Technical Desk,Omnichannel,681,691,80.9,80.0,4.22,13.5,6.7,131
2025-10,Tier 2 Technical Desk,Omnichannel,786,735,87.7,80.0,4.64,13.4,5.3,139
2025-11,Tier 2 Technical Desk,Omnichannel,808,778,77.2,80.0,3.85,12.5,6.8,147
2025-12,Tier 2 Technical Desk,Omnichannel,927,941,76.2,80.0,4.15,9.9,7.8,61
2025-01,Billing & Subscriptions,Omnichannel,761,741,73.2,80.0,4.3,13.4,5.4,82
2025-02,Billing & Subscriptions,Omnichannel,962,907,70.2,80.0,4.46,13.7,6.9,73
2025-03,Billing & Subscriptions,Omnichannel,759,757,87.9,80.0,4.3,7.0,5.3,92
2025-04,Billing & Subscriptions,Omnichannel,682,630,73.7,80.0,3.99,10.0,7.7,136
2025-05,Billing & Subscriptions,Omnichannel,693,677,78.2,80.0,4.32,9.5,7.3,122
2025-06,Billing & Subscriptions,Omnichannel,623,603,85.5,80.0,4.75,8.5,5.5,125
2025-07,Billing & Subscriptions,Omnichannel,633,636,72.8,80.0,4.52,6.7,5.1,163
2025-08,Billing & Subscriptions,Omnichannel,694,710,70.4,80.0,3.9,7.8,7.0,101
2025-09,Billing & Subscriptions,Omnichannel,616,635,74.4,80.0,4.52,12.7,5.3,137
2025-10,Billing & Subscriptions,Omnichannel,1046,964,75.3,80.0,4.7,7.1,5.6,94
2025-11,Billing & Subscriptions,Omnichannel,848,817,86.1,80.0,4.62,8.4,6.3,88
2025-12,Billing & Subscriptions,Omnichannel,997,988,81.2,80.0,4.21,9.8,5.8,76
2025-01,VIP Accounts,Omnichannel,831,817,72.5,80.0,4.67,13.2,7.3,117
2025-02,VIP Accounts,Omnichannel,749,750,74.8,80.0,4.34,8.4,5.1,153
2025-03,VIP Accounts,Omnichannel,825,788,79.5,80.0,3.97,6.6,8.0,115
2025-04,VIP Accounts,Omnichannel,555,525,81.7,80.0,4.63,6.6,6.7,133
2025-05,VIP Accounts,Omnichannel,838,870,82.0,80.0,3.98,9.6,6.8,144
2025-06,VIP Accounts,Omnichannel,857,797,73.0,80.0,4.54,11.0,5.1,60
2025-07,VIP Accounts,Omnichannel,708,678,76.4,80.0,4.52,10.7,5.9,84
2025-08,VIP Accounts,Omnichannel,1112,1027,83.2,80.0,4.01,8.5,7.8,112
2025-09,VIP Accounts,Omnichannel,713,727,80.7,80.0,4.13,7.3,6.5,123
2025-10,VIP Accounts,Omnichannel,826,786,82.4,80.0,4.23,12.6,6.5,111
2025-11,VIP Accounts,Omnichannel,894,833,80.6,80.0,4.16,13.4,5.8,144
2025-12,VIP Accounts,Omnichannel,602,616,85.7,80.0,4.53,11.4,6.6,114
