Reporting_Month,Operational_Team,Staff_FTE,Target_Output,Cases_Received,Cases_Completed,Opening_Backlog,Closing_Backlog,Available_Hours,Hours_Worked,Avg_Turnaround_Days,Customer_Satisfaction_Pct
2025-01,Team Alpha,8.1,130,133,125,150,158,1134.0,1019.3,19.1,87.8
2025-02,Team Alpha,7.7,130,126,115,158,169,1078.0,945.1,26.1,84.5
2025-03,Team Alpha,7.5,130,123,109,169,183,1050.0,873.4,20.3,84.6
2025-04,Team Alpha,7.8,130,139,115,183,207,1092.0,767.9,22.4,85.3
2025-05,Team Alpha,8.4,130,156,126,207,237,1176.0,961.7,29.3,74.3
2025-06,Team Alpha,7.8,130,119,110,237,246,1092.0,863.7,21.0,83.9
2025-07,Team Alpha,8.9,130,121,123,246,244,1246.0,1061.1,22.9,82.2
2025-08,Team Alpha,7.9,130,103,119,244,228,1106.0,915.7,30.5,80.4
2025-09,Team Alpha,7.9,130,122,111,228,239,1106.0,965.0,26.5,75.5
2025-10,Team Alpha,7.8,130,98,115,239,222,1092.0,796.4,30.5,77.2
2025-11,Team Alpha,8.6,130,96,125,222,193,1204.0,1092.2,30.0,88.5
2025-12,Team Alpha,8.8,130,104,135,193,162,1232.0,1025.5,20.8,86.0
2025-01,Team Beta,10.3,155,163,157,190,196,1442.0,1077.8,22.1,78.4
2025-02,Team Beta,9.5,155,165,138,196,223,1330.0,1215.2,20.3,85.2
2025-03,Team Beta,10.0,155,189,145,223,267,1400.0,1189.9,22.0,86.0
2025-04,Team Beta,10.1,155,189,144,267,312,1414.0,1285.0,33.0,83.8
2025-05,Team Beta,10.2,155,202,155,312,359,1428.0,1311.4,30.7,82.7
2025-06,Team Beta,10.7,155,193,159,359,393,1498.0,1052.8,25.4,84.1
2025-07,Team Beta,9.7,155,170,140,393,423,1358.0,1330.8,34.4,76.3
2025-08,Team Beta,9.7,155,160,146,423,437,1358.0,1052.3,37.9,79.1
2025-09,Team Beta,10.4,155,132,155,437,414,1456.0,1332.1,35.4,80.1
2025-10,Team Beta,9.8,155,131,149,414,396,1372.0,1292.9,36.0,79.5
2025-11,Team Beta,10.0,155,134,139,396,391,1400.0,1171.1,34.8,74.9
2025-12,Team Beta,10.8,155,148,155,391,384,1512.0,1059.4,27.5,82.2
2025-01,Team Gamma,11.7,180,188,177,230,241,1638.0,1361.2,26.7,79.6
2025-02,Team Gamma,12.1,180,192,182,241,251,1694.0,1567.3,22.1,85.5
2025-03,Team Gamma,13.0,180,193,184,251,260,1820.0,1517.0,24.8,81.5
2025-04,Team Gamma,12.5,180,199,179,260,280,1750.0,1540.7,24.2,81.9
2025-05,Team Gamma,12.5,180,206,139,280,347,1750.0,1588.1,28.0,78.3
2025-06,Team Gamma,12.4,180,190,135,347,402,1736.0,1401.2,35.4,79.4
2025-07,Team Gamma,12.0,180,174,141,402,435,1680.0,1454.8,34.6,77.8
2025-08,Team Gamma,11.5,180,155,134,435,456,1610.0,1447.3,29.3,77.0
2025-09,Team Gamma,12.5,180,172,176,456,452,1750.0,1555.6,35.9,81.8
2025-10,Team Gamma,11.8,180,156,178,452,430,1652.0,1318.9,28.4,83.1
2025-11,Team Gamma,13.0,180,134,183,430,381,1820.0,1593.6,28.8,83.1
2025-12,Team Gamma,12.0,180,154,170,381,365,1680.0,1416.0,34.8,82.5
2025-01,Team Delta,14.8,205,202,212,270,260,2072.0,1810.1,20.8,85.3
2025-02,Team Delta,13.7,205,250,201,260,309,1918.0,1864.2,30.1,81.9
2025-03,Team Delta,13.8,205,265,197,309,377,1932.0,1574.4,33.5,76.2
2025-04,Team Delta,14.5,205,241,207,377,411,2030.0,1845.9,26.8,87.0
2025-05,Team Delta,14.1,205,255,212,411,454,1974.0,1735.1,33.0,79.9
2025-06,Team Delta,14.9,205,247,212,454,489,2086.0,1956.7,36.3,74.9
2025-07,Team Delta,14.8,205,219,212,489,496,2072.0,1787.1,30.7,79.9
2025-08,Team Delta,14.9,205,207,224,496,479,2086.0,1766.0,28.2,83.1
2025-09,Team Delta,14.9,205,190,213,479,456,2086.0,1675.1,30.4,78.6
2025-10,Team Delta,14.2,205,170,208,456,418,1988.0,1840.5,37.1,77.7
2025-11,Team Delta,13.6,205,182,205,418,395,1904.0,1758.2,34.1,79.6
2025-12,Team Delta,14.5,205,200,217,395,378,2030.0,1664.6,27.7,76.0
