Case_Reference,Date_Received,Date_Completed,Department,Operational_Unit,Region,Classification,Current_Status,Processing_Duration_Days,SLA_Target_Days,Quality_Audit_Score,Case_Cost_GBP
CAS-2025-01001,2025-01-13,2025-02-09,Operations,Unit 3,London & South East,Complex Inspection,Completed,27,45,91.0,1013.58
CAS-2025-01002,2025-05-23,2025-06-16,Operations,Unit 2,Wales & South West,Complex Inspection,Completed,24,45,87.9,948.56
CAS-2025-01003,2025-03-04,2025-03-06,Specialist Assessment,Unit 2,Midlands,Urgent License,Completed,2,5,80.1,203.79
CAS-2025-01004,2025-03-01,2025-03-08,Operations,Unit 1,North & Scotland,Standard Application,Completed,7,15,94.6,351.64
CAS-2025-01005,2025-02-16,2025-03-11,Regulatory Approvals,Unit 4,Wales & South West,Standard Application,Completed,23,15,84.2,940.9
CAS-2025-01006,2025-08-17,2025-08-29,Operations,Unit 2,North & Scotland,Standard Application,Completed,12,15,80.1,481.82
CAS-2025-01007,2025-05-02,2025-06-15,Operations,Unit 2,Wales & South West,Complex Inspection,Completed,44,45,84.4,1707.49
CAS-2025-01008,2025-07-11,2025-07-19,Regulatory Approvals,Unit 2,London & South East,Standard Application,Completed,8,15,97.5,369.6
CAS-2025-01009,2025-03-27,2025-04-03,Operations,Unit 2,Wales & South West,Standard Application,Completed,7,15,94.7,345.92
CAS-2025-01010,2025-08-06,2025-08-16,Customer Enforcement,Unit 1,North & Scotland,Standard Application,Completed,10,15,96.6,469.98
CAS-2025-01011,2025-09-07,2025-09-16,Regulatory Approvals,Unit 1,Wales & South West,Standard Application,Completed,9,15,92.4,455.15
CAS-2025-01012,2025-01-04,2025-03-15,Regulatory Approvals,Unit 4,North & Scotland,Appeals & Inquiries,Completed,70,60,100.0,2598.64
CAS-2025-01013,2025-06-01,2025-06-16,Regulatory Approvals,Unit 3,Wales & South West,Standard Application,Completed,15,15,94.7,664.54
CAS-2025-01014,2025-06-17,2025-06-24,Specialist Assessment,Unit 4,London & South East,Standard Application,Completed,7,15,98.8,300.32
CAS-2025-01015,2025-08-30,2025-09-15,Regulatory Approvals,Unit 1,Midlands,Standard Application,Completed,16,15,88.3,687.67
CAS-2025-01016,2025-03-16,2025-03-18,Specialist Assessment,Unit 4,London & South East,Urgent License,Completed,2,5,89.9,138.74
CAS-2025-01017,2025-07-11,2025-07-19,Regulatory Approvals,Unit 3,Wales & South West,Standard Application,Completed,8,15,98.3,390.19
CAS-2025-01018,2025-09-25,2025-09-27,Regulatory Approvals,Unit 1,North & Scotland,Urgent License,Completed,2,5,93.4,211.26
CAS-2025-01019,2025-03-03,2025-03-10,Regulatory Approvals,Unit 1,Midlands,Standard Application,Completed,7,15,89.5,394.18
CAS-2025-01020,2025-08-11,2025-09-13,Specialist Assessment,Unit 3,Midlands,Complex Inspection,Completed,33,45,97.9,1250.82
CAS-2025-01021,2025-01-25,2025-03-26,Regulatory Approvals,Unit 1,Wales & South West,Appeals & Inquiries,Completed,60,60,100.0,2276.87
CAS-2025-01022,2025-01-09,2025-01-16,Customer Enforcement,Unit 4,London & South East,Standard Application,Completed,7,15,94.4,368.6
CAS-2025-01023,2025-06-19,2025-06-29,Operations,Unit 3,Midlands,Standard Application,Completed,10,15,94.7,491.31
CAS-2025-01024,2025-05-25,2025-05-28,Specialist Assessment,Unit 1,London & South East,Urgent License,Completed,3,5,83.2,164.85
CAS-2025-01025,2025-07-01,2025-07-10,Customer Enforcement,Unit 2,Midlands,Standard Application,Completed,9,15,88.6,426.65
CAS-2025-01026,2025-05-28,2025-07-12,Operations,Unit 1,North & Scotland,Complex Inspection,Completed,45,45,83.0,1705.84
CAS-2025-01027,2025-07-09,2025-07-19,Regulatory Approvals,Unit 4,London & South East,Standard Application,Completed,10,15,100.0,502.79
CAS-2025-01028,2025-06-22,2025-10-03,Operations,Unit 1,Wales & South West,Complex Inspection,Completed,103,45,90.3,3713.88
CAS-2025-01029,2025-08-15,2025-08-23,Regulatory Approvals,Unit 1,Midlands,Standard Application,Completed,8,15,86.6,407.71
CAS-2025-01030,2025-01-12,2025-01-19,Specialist Assessment,Unit 4,Wales & South West,Standard Application,Completed,7,15,100.0,332.07
CAS-2025-01031,2025-05-02,2025-05-13,Operations,Unit 2,Wales & South West,Standard Application,Completed,11,15,80.5,521.88
CAS-2025-01032,2025-08-08,2025-08-28,Operations,Unit 1,Midlands,Standard Application,Completed,20,15,94.2,801.66
CAS-2025-01033,2025-07-16,2025-09-24,Regulatory Approvals,Unit 2,Midlands,Appeals & Inquiries,Completed,70,60,99.1,2633.73
CAS-2025-01034,2025-06-26,2025-07-11,Operations,Unit 2,North & Scotland,Standard Application,Completed,15,15,89.2,639.41
CAS-2025-01035,2025-04-08,2025-04-15,Operations,Unit 3,London & South East,Standard Application,Completed,7,15,94.1,373.49
CAS-2025-01036,2025-09-16,,Regulatory Approvals,Unit 1,London & South East,Appeals & Inquiries,In Progress,46,60,,1707.11
CAS-2025-01037,2025-01-01,2025-01-13,Specialist Assessment,Unit 1,Wales & South West,Standard Application,Completed,12,15,100.0,537.81
CAS-2025-01038,2025-04-05,2025-05-22,Operations,Unit 2,Midlands,Complex Inspection,Completed,47,45,99.1,1773.69
CAS-2025-01039,2025-08-10,2025-08-19,Customer Enforcement,Unit 1,Wales & South West,Standard Application,Completed,9,15,92.4,447.97
CAS-2025-01040,2025-03-07,2025-06-01,Customer Enforcement,Unit 3,Midlands,Complex Inspection,Completed,86,45,100.0,3158.48
CAS-2025-01041,2025-09-06,2025-09-17,Regulatory Approvals,Unit 4,North & Scotland,Standard Application,Completed,11,15,99.6,526.74
CAS-2025-01042,2025-05-13,2025-05-17,Customer Enforcement,Unit 2,Wales & South West,Urgent License,Completed,4,5,82.9,212.91
CAS-2025-01043,2025-02-12,2025-02-19,Operations,Unit 3,North & Scotland,Standard Application,Completed,7,15,99.2,313.69
CAS-2025-01044,2025-01-08,2025-01-25,Operations,Unit 4,Wales & South West,Standard Application,Completed,17,15,94.8,713.69
CAS-2025-01045,2025-02-20,2025-02-28,Operations,Unit 1,Midlands,Standard Application,Completed,8,15,92.1,342.87
CAS-2025-01046,2025-01-01,2025-01-03,Regulatory Approvals,Unit 4,Midlands,Urgent License,Completed,2,5,84.7,130.23
CAS-2025-01047,2025-02-16,2025-02-22,Regulatory Approvals,Unit 3,Wales & South West,Urgent License,Completed,6,5,85.0,269.11
CAS-2025-01048,2025-01-26,2025-04-28,Specialist Assessment,Unit 4,London & South East,Complex Inspection,Completed,92,45,96.8,3339.61
CAS-2025-01049,2025-01-28,2025-02-21,Operations,Unit 4,Midlands,Complex Inspection,Completed,24,45,92.4,927.24
CAS-2025-01050,2025-01-07,2025-01-31,Regulatory Approvals,Unit 3,Midlands,Complex Inspection,Completed,24,45,89.9,941.72
CAS-2025-01051,2025-07-11,2025-07-20,Operations,Unit 1,Wales & South West,Standard Application,Completed,9,15,97.4,390.64
CAS-2025-01052,2025-05-06,2025-06-17,Operations,Unit 1,London & South East,Complex Inspection,Completed,42,45,92.0,1549.69
CAS-2025-01053,2025-04-21,2025-05-28,Customer Enforcement,Unit 3,Wales & South West,Complex Inspection,Completed,37,45,100.0,1401.38
CAS-2025-01054,2025-04-11,2025-05-12,Operations,Unit 2,Wales & South West,Complex Inspection,Completed,31,45,92.2,1174.22
CAS-2025-01055,2025-05-30,2025-06-15,Operations,Unit 2,North & Scotland,Standard Application,Completed,16,15,92.8,626.79
CAS-2025-01056,2025-04-05,2025-04-12,Operations,Unit 1,North & Scotland,Standard Application,Completed,7,15,93.0,390.24
CAS-2025-01057,2025-05-14,2025-07-04,Specialist Assessment,Unit 2,Wales & South West,Complex Inspection,Completed,51,45,97.4,1932.35
CAS-2025-01058,2025-07-22,2025-07-24,Regulatory Approvals,Unit 3,London & South East,Urgent License,Completed,2,5,87.4,171.76
CAS-2025-01059,2025-04-23,2025-04-25,Regulatory Approvals,Unit 1,Midlands,Urgent License,Completed,2,5,81.2,171.61
CAS-2025-01060,2025-09-16,2025-09-23,Operations,Unit 2,Wales & South West,Standard Application,Completed,7,15,88.4,366.65
CAS-2025-01061,2025-09-30,,Operations,Unit 3,Wales & South West,Complex Inspection,Under Review,32,45,,1278.95
CAS-2025-01062,2025-08-24,2025-09-27,Regulatory Approvals,Unit 1,Wales & South West,Appeals & Inquiries,Completed,34,60,96.6,1294.92
