Row_ID,Log_Date,Team_Name,Cases_In,Cases_Out,Staff_Count,Target,Hours,Opening_BL,Closing_BL,Constant_Flag
REC-001,2025-01-10,Team Alpha,100.0,95,10,100.0,350,50,55,SYSTEM_V1
REC-002,2025-01-11,team alpha,120.0,110,10,100.0,360,55,65,SYSTEM_V1
REC-003,2025-01-12,Team Alpha ,90.0,85,9,90.0,320,65,70,SYSTEM_V1
REC-004,2025-01-13,TEAM ALPHA,110.0,100,10,100.0,350,70,80,SYSTEM_V1
REC-004,2025-01-14,Team Beta,80.0,75,8,80.0,280,30,35,SYSTEM_V1
REC-001,2025-01-10,Team Alpha,100.0,95,10,100.0,350,50,55,SYSTEM_V1
REC-005,2025-02-31,Team Beta,70.0,65,8,80.0,280,35,40,SYSTEM_V1
REC-006,NOT_A_DATE,Team Beta,85.0,80,8,80.0,290,40,45,SYSTEM_V1
REC-007,,Team Gamma,,50,6,,200,20,30,SYSTEM_V1
REC-008,2025-01-17,Team Gamma,50.0,45,0,0.0,0,30,35,SYSTEM_V1
REC-009,2025-01-18,Team Gamma,-25.0,40,-2,50.0,180,35,20,SYSTEM_V1
REC-010,2025-01-19,Team Delta,100.0,50,5,60.0,175,20,999,SYSTEM_V1
REC-011,2025-01-20,Team Delta,99999.0,45,5,60.0,175,999,100953,SYSTEM_V1
REC-012,2025-01-21,Team Delta,60.0,55,5,60.0,175,100953,100958,SYSTEM_V1
