Quarter,District_Office,Inspection_Category,Planned_Inspections,Completed_Inspections,Target_Inspections,Defects_Identified,Inspectors_Assigned
2024-Q1,North Region,Structural Safety,69,65,69,0,2.8
2024-Q1,North Region,Fire Risk,100,89,100,3,2.1
2024-Q1,North Region,Hygiene & Sanitation,88,67,88,11,5.8
2024-Q1,Central Metro,Structural Safety,85,87,85,2,5.0
2024-Q1,Central Metro,Fire Risk,76,78,76,0,4.2
2024-Q1,Central Metro,Hygiene & Sanitation,99,99,99,0,3.3
2024-Q1,South Coast,Structural Safety,57,52,57,5,4.8
2024-Q1,South Coast,Fire Risk,85,66,85,5,3.4
2024-Q1,South Coast,Hygiene & Sanitation,66,55,66,9,5.0
2024-Q1,Western District,Structural Safety,72,56,72,5,3.4
2024-Q1,Western District,Fire Risk,81,80,81,2,3.0
2024-Q1,Western District,Hygiene & Sanitation,63,64,63,9,2.0
2024-Q1,Eastern Valley,Structural Safety,75,74,75,0,2.3
2024-Q1,Eastern Valley,Fire Risk,55,42,55,2,3.4
2024-Q1,Eastern Valley,Hygiene & Sanitation,105,92,105,18,3.9
2024-Q2,North Region,Structural Safety,102,106,102,21,4.4
2024-Q2,North Region,Fire Risk,88,66,88,5,3.2
2024-Q2,North Region,Hygiene & Sanitation,99,83,99,7,5.1
2024-Q2,Central Metro,Structural Safety,44,39,44,5,2.2
2024-Q2,Central Metro,Fire Risk,86,82,86,7,4.9
2024-Q2,Central Metro,Hygiene & Sanitation,52,54,52,9,3.3
2024-Q2,South Coast,Structural Safety,56,48,56,2,3.8
2024-Q2,South Coast,Fire Risk,94,77,94,9,5.9
2024-Q2,South Coast,Hygiene & Sanitation,62,54,62,4,2.2
2024-Q2,Western District,Structural Safety,40,35,40,7,4.2
2024-Q2,Western District,Fire Risk,87,70,87,12,3.1
2024-Q2,Western District,Hygiene & Sanitation,55,49,55,4,4.4
2024-Q2,Eastern Valley,Structural Safety,106,87,106,15,2.6
2024-Q2,Eastern Valley,Fire Risk,96,81,96,4,2.4
2024-Q2,Eastern Valley,Hygiene & Sanitation,101,97,101,11,2.1
2024-Q3,North Region,Structural Safety,87,86,87,3,2.7
2024-Q3,North Region,Fire Risk,62,47,62,5,4.5
2024-Q3,North Region,Hygiene & Sanitation,73,60,73,9,4.5
2024-Q3,Central Metro,Structural Safety,97,87,97,4,4.7
2024-Q3,Central Metro,Fire Risk,55,42,55,6,5.8
2024-Q3,Central Metro,Hygiene & Sanitation,71,73,71,7,4.7
2024-Q3,South Coast,Structural Safety,74,69,74,0,5.2
2024-Q3,South Coast,Fire Risk,82,84,82,2,5.3
2024-Q3,South Coast,Hygiene & Sanitation,79,80,79,11,3.1
2024-Q3,Western District,Structural Safety,51,39,51,1,2.2
2024-Q3,Western District,Fire Risk,74,62,74,9,3.3
2024-Q3,Western District,Hygiene & Sanitation,65,62,65,1,3.0
2024-Q3,Eastern Valley,Structural Safety,46,36,46,4,3.4
2024-Q3,Eastern Valley,Fire Risk,114,115,114,3,3.7
2024-Q3,Eastern Valley,Hygiene & Sanitation,75,60,75,8,4.3
2024-Q4,North Region,Structural Safety,88,85,88,3,3.5
2024-Q4,North Region,Fire Risk,63,63,63,4,3.0
2024-Q4,North Region,Hygiene & Sanitation,94,91,94,2,2.4
2024-Q4,Central Metro,Structural Safety,56,50,56,3,5.3
2024-Q4,Central Metro,Fire Risk,52,52,52,0,2.2
2024-Q4,Central Metro,Hygiene & Sanitation,100,102,100,11,3.4
2024-Q4,South Coast,Structural Safety,67,69,67,3,4.3
2024-Q4,South Coast,Fire Risk,55,48,55,2,4.4
2024-Q4,South Coast,Hygiene & Sanitation,91,86,91,3,5.8
2024-Q4,Western District,Structural Safety,55,54,55,4,4.0
2024-Q4,Western District,Fire Risk,78,81,78,4,4.9
2024-Q4,Western District,Hygiene & Sanitation,114,89,114,11,4.8
2024-Q4,Eastern Valley,Structural Safety,97,90,97,5,2.3
2024-Q4,Eastern Valley,Fire Risk,52,42,52,8,5.3
2024-Q4,Eastern Valley,Hygiene & Sanitation,105,81,105,4,2.9
